abis,habis,,'/,",","'/abis/',","'habis',"
accent,tekanan,,/',,"'/accent/',","'tekanan',"
accept,terima,,',,"'/accept/',","'terima',"
accident,kecelakaan,,,,"'/accident/',","'kecelakaan',"
achievement,prestasi,,,,"'/achievement/',","'prestasi',"
acra,acara,,,,"'/acra/',","'acara',"
acrany,acaranya,,,,"'/acrany/',","'acaranya',"
acrnya,acaranya,,,,"'/acrnya/',","'acaranya',"
action,aksi,,,,"'/action/',","'aksi',"
active,aktif,,,,"'/active/',","'aktif',"
activity,aktivitas,,,,"'/activity/',","'aktivitas',"
actually,sebenarnya,,,,"'/actually/',","'sebenarnya',"
actualy,sebenarnya,,,,"'/actualy/',","'sebenarnya',"
ad,ada,,,,"'/ad/',","'ada',"
ade,ada,,,,"'/ade/',","'ada',"
adult,dewasa,,,,"'/adult/',","'dewasa',"
adventure,petualangan,,,,"'/adventure/',","'petualangan',"
adventurer,petualang,,,,"'/adventurer/',","'petualang',"
advice,nasehat,,,,"'/advice/',","'nasehat',"
after,setelah,,,,"'/after/',","'setelah',"
afternun,sore,,,,"'/afternun/',","'sore',"
again,lagi,,,,"'/again/',","'lagi',"
agency,perwakilan,,,,"'/agency/',","'perwakilan',"
agent,agen,,,,"'/agent/',","'agen',"
agk,agak,,,,"'/agk/',","'agak',"
agktn,angkatan,,,,"'/agktn/',","'angkatan',"
agree,setuju,,,,"'/agree/',","'setuju',"
agreement,persetujuan,,,,"'/agreement/',","'persetujuan',"
aing,saya,,,,"'/aing/',","'saya',"
aj,saja,,,,"'/aj/',","'saja',"
aja,saja,,,,"'/aja/',","'saja',"
ajah,saja,,,,"'/ajah/',","'saja',"
aje,saja,,,,"'/aje/',","'saja',"
ajeh,saja,,,,"'/ajeh/',","'saja',"
ajk,ajak,,,,"'/ajk/',","'ajak',"
ak,saya,,,,"'/ak/',","'saya',"
akeh,banyak,,,,"'/akeh/',","'banyak',"
akhire,akhirnya,,,,"'/akhire/',","'akhirnya',"
aktifkn,aktifkan,,,,"'/aktifkn/',","'aktifkan',"
aku,saya,,,,"'/aku/',","'saya',"
alhamdlh,alhamdulillah,,,,"'/alhamdlh/',","'alhamdulillah',"
alhamdulilah,alhamdulillah,,,,"'/alhamdulilah/',","'alhamdulillah',"
almost,hampir,,,,"'/almost/',","'hampir',"
almt,alamat,,,,"'/almt/',","'alamat',"
alone,sendiri,,,,"'/alone/',","'sendiri',"
alsn,alasan,,,,"'/alsn/',","'alasan',"
also,juga,,,,"'/also/',","'juga',"
always,selalu,,,,"'/always/',","'selalu',"
ama,sama,,,,"'/ama/',","'sama',"
amazing,mengagumkan,,,,"'/amazing/',","'mengagumkan',"
ampe,sampai,,,,"'/ampe/',","'sampai',"
amu,kamu,,,,"'/amu/',","'kamu',"
amuh,kamu,,,,"'/amuh/',","'kamu',"
ancen,memang,,,,"'/ancen/',","'memang',"
ancur,hancur,,,,"'/ancur/',","'hancur',"
ane,saya,,,,"'/ane/',","'saya',"
anget,hangat,,,,"'/anget/',","'hangat',"
aple,apple,,,,"'/aple/',","'apple',"
aplksi,aplikasi,,,,"'/aplksi/',","'aplikasi',"
aproved,diterima,,,,"'/aproved/',","'diterima',"
aq,saya,,,,"'/aq/',","'saya',"
aqoe,saya,,,,"'/aqoe/',","'saya',"
aqu,saya,,,,"'/aqu/',","'saya',"
aqw,saya,,,,"'/aqw/',","'saya',"
arep,mau,,,,"'/arep/',","'mau',"
arived,tiba,,,,"'/arived/',","'tiba',"
article,artikel,,,,"'/article/',","'artikel',"
artine,artinya,,,,"'/artine/',","'artinya',"
asignment,tugas,,,,"'/asignment/',","'tugas',"
assistance,bantuan,,,,"'/assistance/',","'bantuan',"
assistant,asisten,,,,"'/assistant/',","'asisten',"
asyek,asyik,,,,"'/asyek/',","'asyik',"
ats,atas,,,,"'/ats/',","'atas',"
atu,satu-satu,,,,"'/atu/',","'satu-satu',"
atw,atau,,,,"'/atw/',","'atau',"
automatic,otomatis,,,,"'/automatic/',","'otomatis',"
aya,ada,,,,"'/aya/',","'ada',"
b,bb,,,,"'/b/',","'bb',"
bkesinambungn,berkesinambungan,,,,"'/bkesinambungn/',","'berkesinambungan',"
babeh,ayah,,,,"'/babeh/',","'ayah',"
balasanya,balasannya,,,,"'/balasanya/',","'balasannya',"
bales,balas,,,,"'/bales/',","'balas',"
banga,bangga,,,,"'/banga/',","'bangga',"
batre,baterai,,,,"'/batre/',","'baterai',"
bbrapa,beberapa,,,,"'/bbrapa/',","'beberapa',"
bbrp,beberapa,,,,"'/bbrp/',","'beberapa',"
bbrpa,beberapa,,,,"'/bbrpa/',","'beberapa',"
bdg,bandung,,,,"'/bdg/',","'bandung',"
beach,pantai,,,,"'/beach/',","'pantai',"
before,sebelum,,,,"'/before/',","'sebelum',"
begete,banget,,,,"'/begete/',","'banget',"
bego,bodoh,,,,"'/bego/',","'bodoh',"
belike,belikan,,,,"'/belike/',","'belikan',"
bengi,malam,,,,"'/bengi/',","'malam',"
benjol,memar,,,,"'/benjol/',","'memar',"
beraktifitas,beraktivitas,,,,"'/beraktifitas/',","'beraktivitas',"
berjln,berjalan,,,,"'/berjln/',","'berjalan',"
berkmmpuan,berkemampuan,,,,"'/berkmmpuan/',","'berkemampuan',"
bersaman,bersamaan,,,,"'/bersaman/',","'bersamaan',"
bet,banget,,,,"'/bet/',","'banget',"
beter,better,,,,"'/beter/',","'better',"
between,antara,,,,"'/between/',","'antara',"
bgm,bagaimana,,,,"'/bgm/',","'bagaimana',"
bgmn,bagaimana,,,,"'/bgmn/',","'bagaimana',"
bgmna,bagaimana,,,,"'/bgmna/',","'bagaimana',"
bgn,bangun,,,,"'/bgn/',","'bangun',"
bgt,banget,,,,"'/bgt/',","'banget',"
bgtu,begitu,,,,"'/bgtu/',","'begitu',"
bhs,bahasa,,,,"'/bhs/',","'bahasa',"
bimbel,bimbingan belajar,,,,"'/bimbel/',","'bimbingan belajar',"
birthday,ulang tahun,,,,"'/birthday/',","'ulang tahun',"
bis,habis,,,,"'/bis/',","'habis',"
bjln,berjalan,,,,"'/bjln/',","'berjalan',"
