ada,,'~\b,\b~',"'~\bada\b~',"
adalah,,",",,"'~\badalah\b~',"
adanya,,,,"'~\badanya\b~',"
adapun,,,,"'~\badapun\b~',"
agak,,,,"'~\bagak\b~',"
agaknya,,,,"'~\bagaknya\b~',"
agar,,,,"'~\bagar\b~',"
akan,,,,"'~\bakan\b~',"
akankah,,,,"'~\bakankah\b~',"
akhir,,,,"'~\bakhir\b~',"
akhiri,,,,"'~\bakhiri\b~',"
akhirnya,,,,"'~\bakhirnya\b~',"
aku,,,,"'~\baku\b~',"
akulah,,,,"'~\bakulah\b~',"
amat,,,,"'~\bamat\b~',"
amatlah,,,,"'~\bamatlah\b~',"
anda,,,,"'~\banda\b~',"
andalah,,,,"'~\bandalah\b~',"
antar,,,,"'~\bantar\b~',"
antara,,,,"'~\bantara\b~',"
antaranya,,,,"'~\bantaranya\b~',"
apa,,,,"'~\bapa\b~',"
apaan,,,,"'~\bapaan\b~',"
apabila,,,,"'~\bapabila\b~',"
apakah,,,,"'~\bapakah\b~',"
apalagi,,,,"'~\bapalagi\b~',"
apatah,,,,"'~\bapatah\b~',"
artinya,,,,"'~\bartinya\b~',"
asal,,,,"'~\basal\b~',"
asalkan,,,,"'~\basalkan\b~',"
atas,,,,"'~\batas\b~',"
atau,,,,"'~\batau\b~',"
ataukah,,,,"'~\bataukah\b~',"
ataupun,,,,"'~\bataupun\b~',"
awal,,,,"'~\bawal\b~',"
awalnya,,,,"'~\bawalnya\b~',"
bagai,,,,"'~\bbagai\b~',"
bagaikan,,,,"'~\bbagaikan\b~',"
bagaimana,,,,"'~\bbagaimana\b~',"
bagaimanakah,,,,"'~\bbagaimanakah\b~',"
bagaimanapun,,,,"'~\bbagaimanapun\b~',"
bagi,,,,"'~\bbagi\b~',"
bagian,,,,"'~\bbagian\b~',"
bahkan,,,,"'~\bbahkan\b~',"
bahwa,,,,"'~\bbahwa\b~',"
bahwasanya,,,,"'~\bbahwasanya\b~',"
baik,,,,"'~\bbaik\b~',"
bakal,,,,"'~\bbakal\b~',"
bakalan,,,,"'~\bbakalan\b~',"
balik,,,,"'~\bbalik\b~',"
banyak,,,,"'~\bbanyak\b~',"
bapak,,,,"'~\bbapak\b~',"
baru,,,,"'~\bbaru\b~',"
